iter	Passed	Remaining
0	1	139
1	3	153
2	20	671
3	22	546
4	24	470
5	26	417
6	28	378
7	30	348
8	32	325
9	34	312
10	36	298
11	39	286
12	40	273
13	42	262
14	44	252
15	46	242
16	48	236
17	50	229
18	52	223
19	54	217
20	56	212
21	58	206
22	60	201
23	61	196
24	64	194
25	67	192
26	69	187
27	70	181
28	72	176
29	73	172
30	76	169
31	77	165
32	79	160
33	80	156
34	81	152
35	82	147
36	84	143
37	85	139
38	86	135
39	87	131
40	88	127
41	89	124
42	90	120
43	91	116
44	92	113
45	94	111
46	95	107
47	96	104
48	97	101
49	98	98
50	99	96
51	101	93
52	102	90
53	103	88
54	105	86
55	106	83
56	107	81
57	108	78
58	109	76
59	111	74
60	112	71
61	113	69
62	114	67
63	115	64
64	117	63
65	118	60
66	119	58
67	120	56
68	122	54
69	123	52
70	124	50
71	125	48
72	126	46
73	127	44
74	128	42
75	130	41
76	131	39
77	132	37
78	133	35
79	134	33
80	135	31
81	137	30
82	138	28
83	139	26
84	140	24
85	141	22
86	142	21
87	143	19
88	144	17
89	145	16
90	146	14
91	147	12
92	148	11
93	150	9
94	151	7
95	153	6
96	154	4
97	155	3
98	156	1
99	157	0
