iter	Passed	Remaining
0	152	152529
1	155	77537
2	158	52618
3	160	40074
4	163	32570
5	167	27713
6	170	24167
7	172	21443
8	175	19323
9	177	17569
10	179	16179
11	182	15000
12	183	13969
13	185	13072
14	187	12291
15	188	11604
16	189	10983
17	191	10430
18	192	9954
19	194	9540
20	196	9165
21	197	8796
22	198	8450
23	200	8136
24	201	7842
25	202	7573
26	203	7327
27	204	7097
28	205	6889
29	207	6695
30	208	6530
31	210	6355
32	211	6196
33	212	6048
34	213	5899
35	215	5757
36	216	5626
37	217	5501
38	218	5379
39	219	5265
40	220	5155
41	221	5053
42	223	4964
43	224	4874
44	225	4782
45	226	4694
46	227	4611
47	228	4534
48	229	4459
49	230	4385
50	232	4318
51	233	4250
52	234	4185
53	235	4126
54	237	4079
55	239	4037
56	240	3985
57	242	3931
58	243	3882
59	244	3832
60	246	3786
61	247	3740
62	248	3696
63	249	3654
64	251	3620
65	254	3595
66	255	3555
67	256	3517
68	257	3480
69	259	3448
70	261	3415
71	262	3379
72	263	3343
73	264	3311
74	265	3280
75	267	3256
76	270	3238
77	271	3210
78	273	3183
79	274	3153
80	276	3133
81	277	3105
82	277	3070
83	279	3046
84	280	3020
85	282	3005
86	284	2989
87	286	2966
88	287	2943
89	288	2919
90	289	2896
91	291	2876
92	292	2853
93	294	2837
94	297	2831
95	299	2816
96	300	2796
97	301	2779
98	303	2761
99	304	2741
100	305	2723
101	307	2707
102	308	2689
103	310	2671
104	312	2662
105	314	2651
106	315	2635
107	316	2617
108	318	2600
109	319	2585
110	320	2569
111	321	2552
112	322	2535
113	323	2517
114	325	2505
115	327	2499
116	329	2483
117	330	2467
118	331	2452
119	332	2439
120	333	2425
121	335	2410
122	336	2397
123	337	2382
124	338	2369
125	339	2357
126	341	2345
127	342	2335
128	344	2323
129	345	2309
130	346	2296
131	347	2284
132	348	2272
133	349	2260
134	350	2248
135	352	2236
136	353	2224
137	355	2219
138	357	2217
139	359	2206
140	360	2197
141	361	2185
142	363	2177
143	364	2167
144	366	2158
145	367	2150
146	371	2157
147	373	2150
148	375	2145
149	378	2144
150	380	2136
151	381	2127
152	382	2118
153	384	2112
154	386	2108
155	387	2098
156	388	2088
157	390	2079
158	391	2071
159	392	2062
160	393	2051
161	394	2041
162	395	2032
163	397	2023
164	398	2018
165	401	2015
166	402	2007
167	403	1999
168	405	1991
169	406	1983
